ID_UG;ID_ORGAO;NO_ORGAO;ID_ORGAO_MAXI
560005;56000;MINISTERIO DAS CIDADES;56000
560004;56000;MINISTERIO DAS CIDADES;56000
560014;56000;MINISTERIO DAS CIDADES;56000
275079;29214;COMPANHIA BRASILEIRA DE TRENS URBANOS;56000
275077;29214;COMPANHIA BRASILEIRA DE TRENS URBANOS;56000
560018;56902;FUNDO NACIONAL DE HAB. INTERESSE SOCIAL;56000
275057;29214;COMPANHIA BRASILEIRA DE TRENS URBANOS;56000
275576;29214;COMPANHIA BRASILEIRA DE TRENS URBANOS;56000
560015;56902;FUNDO NACIONAL DE HAB. INTERESSE SOCIAL;56000
560024;56000;MINISTERIO DAS CIDADES;56000
560002;56000;MINISTERIO DAS CIDADES;56000
560013;56000;MINISTERIO DAS CIDADES;56000
175004;56000;MINISTERIO DAS CIDADES;56000
200320;56901;FUNDO NAC. DE SEGUR. E EDUCACAO DO TRANSITO;56000
560017;56000;MINISTERIO DAS CIDADES;56000
560021;56000;MINISTERIO DAS CIDADES;56000
560006;56000;MINISTERIO DAS CIDADES;56000
560022;56000;MINISTERIO DAS CIDADES;56000
200012;56901;FUNDO NAC. DE SEGUR. E EDUCACAO DO TRANSITO;56000
275058;29214;COMPANHIA BRASILEIRA DE TRENS URBANOS;56000
200322;56901;FUNDO NAC. DE SEGUR. E EDUCACAO DO TRANSITO;56000
560003;56000;MINISTERIO DAS CIDADES;56000
275078;29214;COMPANHIA BRASILEIRA DE TRENS URBANOS;56000
560016;56000;MINISTERIO DAS CIDADES;56000
560007;56000;MINISTERIO DAS CIDADES;56000
560011;56000;MINISTERIO DAS CIDADES;56000
560019;56000;MINISTERIO DAS CIDADES;56000
275176;29214;COMPANHIA BRASILEIRA DE TRENS URBANOS;56000
560020;56000;MINISTERIO DAS CIDADES;56000
275177;29214;COMPANHIA BRASILEIRA DE TRENS URBANOS;56000
560010;56000;MINISTERIO DAS CIDADES;56000
275157;29214;COMPANHIA BRASILEIRA DE TRENS URBANOS;56000
275158;29214;COMPANHIA BRASILEIRA DE TRENS URBANOS;56000
560008;56000;MINISTERIO DAS CIDADES;56000
278012;29214;COMPANHIA BRASILEIRA DE TRENS URBANOS;56000
560001;56000;MINISTERIO DAS CIDADES;56000
560009;56000;MINISTERIO DAS CIDADES;56000
275069;29214;COMPANHIA BRASILEIRA DE TRENS URBANOS;56000
275066;29214;COMPANHIA BRASILEIRA DE TRENS URBANOS;56000
560012;56000;MINISTERIO DAS CIDADES;56000
275076;29214;COMPANHIA BRASILEIRA DE TRENS URBANOS;56000
278009;29205;EMPRESA DE TRENS URBANOS DE PORTO ALEGRE S/A;56000
560023;56000;MINISTERIO DAS CIDADES;56000
275059;29214;COMPANHIA BRASILEIRA DE TRENS URBANOS;56000
275068;29214;COMPANHIA BRASILEIRA DE TRENS URBANOS;56000
275060;29205;EMPRESA DE TRENS URBANOS DE PORTO ALEGRE S/A;56000
